segment_ids,text,keypoint
"(1, 1)","In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.","I remember Mrs. Baker, the neighborhood cat lady"
"(2, 3)",She had adopted at least twenty – or had given them homes.,I knew she’d taken in around twenty strays
"(4, 7)","But she had – a young grandson and back then I was quite the tomboy. And apparently, he was trying to befriend me. I never caught on.",I recall her grandson trying to befriend tomboy me
"(8, 11)",Truth is I didn't take to him much because he had – He was a charming lad until you saw his manners. He had poor manners. Goodness gracious he had poor manners.,I disliked him because his manners were terrible
"(12, 12)",Then he left a note one day saying he was going to run away because she was always nagging about me.,I learned he’d left a note saying he’d run away
"(13, 14)",She came to my treehouse. Big old tabby cat in tow.,"I met Mrs. Baker at my treehouse, her tabby in tow"
"(15, 17)","I talked her down and said “Well we'll go find him and if we can't locate him, you can – go ahead and call the police if you need to.”",I reassured her and proposed we search first
"(18, 19)",I was strategizing. So she took my advice.,I planned our search and she agreed
"(20, 22)",And we went to where they found his baseball cap – near the old mill and we trailed a bit more and we didn't find a trace.,I searched the mill area with her but found nothing
"(23, 26)",And returned – it was a treehouse club – he was sitting on a branch with a comic book in his hand. He hadn't run away.,I discovered him back at the treehouse reading comics
"(27, 27)",But – however – that resolved it for that day.,I figured the matter was settled for now
"(28, 28)","But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",I was warned by Sheriff Dawson to stay unseen
"(29, 32)",And I did. I laid low and stayed out of sight. That was the second time.,I laid low afterward—that was the second time
