recall_id,#clauses,n,segment_ids,text
5a27eee353fc4b0001414fe8,11,16,"[1, 2, 3, 4, 6, 7, 8, 12, 13, 16, 19, 20, 22, 23, 25, 26]","Mrs Baker was the neighbourhood cat lady (about 20 cats). She had a grandson who she was trying to get to make friends with the narrator of the story. She kept nagging so he made it look like he'd ran away. She got the narrator to help look for him and they found his cap, but not him. When they returned he was in the treehouse."
5ce059ad3f8060001509faaa,17,16,"[32, 1, 2, 3, 4, 12, 14, 20, 21, 22, 24, 25, 28, 29, 30, 31]",Mrs Baker was a cat lady who had 20 cats in her time she had a grandson who threatened to run away. The narrator of the story went out to look for his and eventually found him up a tree on a tree branch near the tree house reading a comic book. He had a ginger cat with him. The police officer came over and said he had better lay low as the cat lady never forgets what happens and may be on the look out for him. the boy did as he was told and laid low for the evening. It was the second time he had pretended to try and run away.
64147bd031fe8ffa29c456ed,12,16,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 16, 19, 20, 21, 25, 26]","In a girl's town, there was a cat lady who adopted or rehomed at least 20 cats. The cat lady had a grandson with bad manners, who tried to befriend the girl, but she never caught on. The girl thought the grandson had gone missing because she didn't see him, so they searched for him, only to find him on a branch, reading a comic."
603e398b791c600929143195,17,17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","I stayed in an old neighbourhood and my neighbour was an old cat lady - well she adopted some or given them a home. She had a grandson and back then I was a tomboy But he started liking and I was not into him at first he was a good looking lad but as time goes you would see that he had bad manners, goodness he had bad manners. one day he wrote a note saying he was running away saying that she was nagging him about me. She came to my house with a cat and I told her to calm down I will look for him first and if I dont find him you can call the police."
59777c084bfdcf0001f7bbc7,11,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 24, 25, 26, 28]",An old lady Mrs Dawson had about 20 cats she adopted a girl that was a tomboy it she was a lot of trouble she left a note saying she would run away but she didn't run away she was sat in a tree with a table cat in tow the sheriff said stay out of sight as once that woman gets something in her head she never forgets.
5b0a9b13444cef0001ca2b32,14,18,"[1, 2, 3, 4, 5, 6, 12, 16, 17, 20, 21, 24, 25, 26, 28, 29, 30, 31]","I lived next door to a neighbour, she was known as the cat lady as her house was full of cats she bought.. or found. I was always kinda a tomboy and the neighbours son wanted to be friends with me. One day the son went missing and I had to help the neighbour find him, he had run away, we found his baseball cap and started looking for him. Eventually we found that he was in his treehouse reading a comic book. After this the police man told me to keep on the low down because the neighbour never forgets a face and she was not happy with me."
5bdf514805ba8e0001965d25,13,18,"[1, 2, 3, 4, 5, 7, 8, 12, 13, 15, 16, 17, 19, 20, 21, 23, 25, 28]","Mrs Baker had 20 cats, adopted. Her grandson knew a girl nearby who was a tomboy but Mrs Baker didn’t like her. The grandson went missing one day and they went looking for him but Mrs Baker thought it was her fault. They found him up a tree reading a comic book. His cap was found nearby. The police officer told her to stay away from Mrs baker as she never forgot anything."
5bec91e66cb00e00015b8a7b,14,18,"[1, 2, 3, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 22, 25, 26, 27, 28]","A cat lady that adopted at least twenty cats, a tom boy lived with her and went missing one day as he did not like the lady very much. The lady with her big tabby cat went to the person in the tree house to get help to find the boy they could not find him but later that day they found him sitting on the tree branch, later in the evening a officer came by but he had already been found."
5edd2d699c9855a147178414,18,18,"[1, 4, 5, 6, 7, 8, 12, 13, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31]",The narrator is a girl that was a self-described tomboy when she was younger. The story is about Mrs Baker a cat lady that has a son. That son wanted to be friends with the narrator but she never thought about it much. One day he ran away and Mrs Baker came to the narrator's treehouse looking for help to find him. Eventually they found him in a different treehouse reading a comic book. The local sheriff Mr Dawson told the narrator to lay low and hide from Mrs Baker for a while.
5f58c945b5424a055aad846b,8,18,"[1, 4, 6, 8, 9, 10, 11, 12, 20, 21, 22, 24, 25, 26, 28, 29, 30, 31]",There was a cat lady. Her grandson was trying to befriend you. Grandson went missing - thought he was in a treehouse but not. Went searching for him and couldn't find a trace. However was back at the treehouse. Advised to lie low and avoid cat lady as she didn't forget things. Grandson had poor manners.
