recall_id,keypoints,attempt,summary_text,segment_ids,keypoints_id,coverage
summary_gpt4o_3_1,3,1,1. I didn't really like Mrs. Baker's grandson because he had poor manners. 2. I helped Mrs. Baker when her grandson left a note saying he was going to run away. 3. Officer Dawson advised me to stay out of sight after the incident.,"[10, 12, 28]",summary_gpt4o_3_1,3
summary_gpt4o_3_3,3,3,"1. I grew up near Mrs. Baker who had many cats and a grandson who tried to befriend me. 2. Mrs. Baker's grandson left a note about running away due to her nagging about me. 3. We found him in the treehouse later, and I stayed out of sight as advised by Officer Dawson.","[1, 4, 6, 12, 25, 26, 28, 29, 30, 31]",summary_gpt4o_3_3,10
summary_gpt4o_3_2,3,2,1. I didn't take to Mrs. Baker's grandson because he had poor manners. 2. I helped Mrs. Baker when her grandson left a note saying he was running away. 3. Officer Dawson advised me to stay out of sight because Mrs. Baker never forgets.,"[10, 11, 12, 28]",summary_gpt4o_3_2,4
summary_gpt4o_4_3,4,3,"1. I grew up near Mrs. Baker, who had many cats. 2. Her grandson with poor manners tried to befriend me. 3. He left a note about running away, and I helped Mrs. Baker look for him. 4. Officer Dawson advised me to stay out of sight because of Mrs. Baker.","[1, 2, 10, 12, 28]",summary_gpt4o_4_3,5
summary_gpt4o_4_2,4,2,1. I didn't get along with Mrs. Baker's grandson because of his poor manners. 2. He left a note saying he would run away because of Mrs. Baker's nagging. 3. I helped Mrs. Baker search for her grandson at the old mill. 4. Officer Dawson advised me to lay low after the incident.,"[10, 12, 28]",summary_gpt4o_4_2,3
summary_gpt4o_4_1,4,1,"1. I grew up near Mrs. Baker, the cat lady. 2. I didn't like her grandson due to his poor manners. 3. I helped Mrs. Baker find her runaway grandson. 4. Officer Dawson told me to stay out of sight afterward.","[1, 10, 28]",summary_gpt4o_4_1,3
summary_gpt4o_5_1,5,1,1. I grew up near Mrs. Baker who adopted many cats. 2. Her grandson tried to befriend me despite his poor manners. 3. He left a note saying he would run away due to nagging. 4. Mrs. Baker and I looked for him and found him in the treehouse. 5. Officer Dawson advised me to lay low to avoid Mrs. Baker's memory.,"[1, 2, 6, 9, 10, 12, 25, 26, 28, 30, 31]",summary_gpt4o_5_1,11
summary_gpt4o_5_3,5,3,"1. I was a tomboy in my neighborhood. 2. Mrs. Baker's grandson tried to befriend me. 3. He had poor manners, so I didn't like him. 4. I helped Mrs. Baker search for her runaway grandson. 5. Officer Dawson advised me to stay out of sight.","[5, 6, 10, 28]",summary_gpt4o_5_3,4
summary_gpt4o_5_2,5,2,"1. I grew up in a neighborhood with Mrs. Baker, the cat lady. 2. I didn't like her grandson because he had poor manners. 3. He left a note saying he was running away due to her nagging. 4. I helped find him at the treehouse, realizing he hadn't run away. 5. I stayed out of sight after Officer Dawson's warning about Mrs. Baker.","[1, 10, 12, 25, 31]",summary_gpt4o_5_2,5
summary_gpt4o_6_2,6,2,"1. I grew up with Mrs. Baker, the neighborhood cat lady. 2. Her grandson tried to befriend me, but had poor manners. 3. He left a note saying he would run away because of her nagging. 4. I suggested we look for him and call the police if needed. 5. We found him in the treehouse reading a comic book. 6. The sheriff advised me to lay low because she never forgets.","[1, 6, 10, 12, 17, 25, 26, 28, 30, 31]",summary_gpt4o_6_2,10
