recall_id,recall_text,len_original,recall rate,rephrased_text,len_rephrased,rate
60cd16e63d3924958e8d3d43,there was a crazy cat lady in the neighbourhood. someone went to the guards.,76,0.37,"A woman known for her eccentricity with cats resided nearby, within the local area. An individual took action by approaching the authorities.",141,0.21403308629326248
5fe6ecb7f4e23353fbf24459,a local lady who loves cats had a problem with the person in the storey and one person had to go hide away but im not to ure why that was,137,0.27,a woman from the area who adores felines encountered an issue with the individual in the apartment above and a single person was compelled to leave seek refuge but I'm uncertain of the exact reason as to why that occurred,221,0.11703650017895924
63e51cdb4193829cb19b2ebf,"About a woman who tried to get close and approach a guy in the neighborhood, but was said that she never forget things easily.",126,0.32,"Concerning a lady who attempted to draw near and move toward a man within the local area, it was claimed that she rarely let go of memories.",140,0.18838817033607136
5ecae8f0edb40e0009671064,A woman who was staying in her house one day adopted cats and one day the cat got missing and one day left a note to go look for the cat and found it in a comic book in a treehouse.,181,0.27,A lady residing within her home on a certain day took in some felines and on another occasion one feline disappeared and on a different day penned a message to search for the missing feline and successfully located it inside a graphic novel situated in a tree fort.,265,0.10774386431754718
627966f3451caac7a46ca880,It was really confusing someone's grandma liked cats and went to a treehouse to persuade the narrator to come down. The grandson was rude to the narrator.,154,0.32,The situation was quite perplexing a certain grandmother was fond of felines and made her way to a treehouse in an attempt to coax the storyteller to descend. The grandchild behaved impolitely towards the storyteller.,217,0.21000597552926262
60ba46327fecef005d8eeb87,The author who is a tomboy talked about her neighbour who liked cats. She kept about 20 cats. She also mentioned that she had a grandchild whom the grandmother was bothering because of the author.,196,0.27,The writer identified as a tomboy discussed her adjacent resident who was fond of felines. This individual maintained roughly 20 cats. She further noted the existence of a grandchild who was being troubled by the grandmother on account of the writer.,250,0.1849591980001999
59f39daef4217300016cbed4,"A lady had a cat and she was very fond of them and either kept 20 or so or tried to re-home them. This lady also had a nephew who was fond of another person in the story, but this nephew had terrible manners and the other person in the story was not interested in them.",269,0.2,"A woman owned a feline companion and held great affection for it often having around twenty or attempting to find them new homes. Additionally, this woman had a nephew who took a liking to someone else mentioned in the tale, yet this nephew possessed poor etiquette and the individual in question showed no interest in return.",326,0.15675386766119626
606f66766e39073d51680a26,"Someone lived in a neighbourhood with Mrs Baker who had lots of cats, at least 20 but had rehomed some. Something about a treehouse and being a tomboy.",151,0.39,"An individual resided in a community alongside Mrs. Baker who possessed numerous felines, no fewer than 20, yet had found new homes for a few. There was talk concerning a tree fort and her tomboyish nature.",206,0.21123860181383491
5dc5c2dfe0089e56432b4d6c,There was a cat lady who had 20 cats her grandson went missing one day and she went to a tree house to try and find him.,120,0.49,"A woman owned many felines possessing a total of twenty cats suddenly, her grandson disappeared prompting her to approach a treehouse in an attempt to locate him.",162,0.33338202964845676
63d13efb60b6ba4c433bad7d,Mrs baker was the cat lady down the street. She had a grandson who was a tomboy. One day Mrs Baker lost her cat which was a tabby. We tried to find it. But we couldn't.,168,0.37,"Mrs. Baker, known as the neighborhood's cat woman, lived down the road. Her grandson, who exhibited tomboyish tendencies, was part of her family. On a certain occasion, Mrs. Baker misplaced her tabby cat. We made an effort to locate the missing feline. However, our search was unsuccessful.",290,0.19372016644258616
60471ddd0b6ed718cb843760,"Detective Dawson said he should lay low as, once the lady had it in her head she would not let it go. She had many cats and a treehouse.",136,0.52,"Detective Dawson stated he ought to keep a low profile since, once the woman was convinced she would persist relentlessly. She owned numerous felines along with a treehouse.",173,0.3591536152118496
5d27b8fee5af0b00157f41a6,"In a neighborhood where Mrs Baker lived, she was a cat lady that had a grandson that went missing.",98,0.73,"Within a local area resided Mrs. Baker, known for her fondness for cats, who possessed a grandson who had disappeared.",118,0.495800600140254
6483247637d20bcecd41963b,"A Mrs Baker was the local cat lady. She had found homes for cats for around 20 homes. One of the Mrs Bakers cats went missing. While she went looking for the cat, she came across one of the local young residents, she was bit of a tomboy who liked to climb trees, the young girl gave a note to the cat lady saying that she was going to run away one day because she was fed up with all the nagging at home. Mrs Baker said to the young girl that someone will most certainly call the sheriff if you ran away. The lady continued to look for the cat but found the young girls red baseball hat that she had left behind.",612,0.12,"Mrs. Baker was known in the neighborhood as the cat lady. She had successfully placed cats in approximately 20 households. One of Mrs. Baker's felines had disappeared. In her search for the missing cat, she encountered a local youngster, a bit of a tomboy who enjoyed scaling trees, this girl handed Mrs. Baker a note expressing her desire to escape someday due to constant nagging at home. Mrs. Baker warned the girl that running away would likely prompt someone to alert the sheriff. The woman persisted in her quest to find the cat yet stumbled upon the girl's abandoned red baseball cap.",591,0.12331546584966156
5ea20fd571038c119083a8df,"Mrs Baker still lived in my old neighbourhood. She hoarded all different types of cats. She had up to twenty two at any one time. I recall visiting her. Her grand son was present. I remember that he had terrible manners. Really, really awful manners. Terrible! But he always helped his gran rescue her cats. The cats were from beyond our hideout. Way beyond the old treehouse. One cat got stuck in a treetop. We had a treehouse in that treetop. We used to spend summers in that treehouse. What fun! He was able to climb to the top. He could gently lift cats to safety. I could only climb up half way. Tomboy, that's what Mrs Baker used to call me. Her shrill tone of ""Tomboy"", still rings in my ears today. All these years later. Once, the cat lady, (for that what we called her), rang the police! She thought we were stuck in the tree. ""What you doing up there, tomboy"", she yelled at me. She was on the phone to the police. Arriving as though there was a hostage seige, two police cars swooped down the gravelly rough pathways. The pathways were through the tall lofty trees. The sound of the fire brigade was ringing out behind them. Everyone came out of their cottages. They were peering, and mumbling to each other over the fences. They were pointing at our treehouse. And that's all I can remember. I woke up on Mrs Baker's sofa. Several cats were licking my face. Her grand son was reading his comic. He was crosslegged on the floor directly opposite me. The police, with concerned frowns, were talking. They were pointing towards me. What a day that was! It was the second time!",1586,0.05,"Mrs. Baker continued to reside in the neighborhood I grew up in. She accumulated a variety of cats. At times, she had as many as twenty-two. I have memories of paying her a visit. Her grandson was there at the time. I recall his manners being quite poor. Exceptionally, exceptionally bad manners. Horrendous! Nevertheless, he consistently assisted his grandmother in saving her cats. These cats came from far beyond our secret spot. Well past the ancient tree fort. A cat once became trapped high in a tree. Our tree fort was nestled in that very tree. We would spend our summer days in that fort. Such great times! He managed to scale it all the way to the top. He was adept at retrieving cats and bringing them down safely. I was only able to make it halfway up. Mrs. Baker would call me 'Tomboy' in her unique way. The piercing call of 'Tomboy' from her still echoes in my mind. Even after all these years. There was a time when the cat lady (as we referred to her) called the authorities! She was under the impression that we were stranded in the tree. ""What are you doing up there, tomboy?"" she shouted at me. At that moment, she was on the line with the police. Two patrol cars arrived hastily, as if responding to a major incident, along the stony paths. These paths cut through the towering trees. The sound of the fire department's sirens followed closely behind. All the neighbors emerged from their homes. They were gazing and whispering to one another across their fences. They were gesturing towards our tree fort. That's the extent of what I can recall. I came to on the couch in Mrs. Baker's living room. A few cats were affectionately licking my face. Her grandson was engrossed in his comic book. He sat with his legs crossed on the floor facing me. The officers were engaged in serious conversation. Their gestures were directed at me. What an eventful day it was! And it wasn't the first time!",1912,0.03843172423438807
60205f5ba5fe0165fa0e5e01,"In a neighbourhood lived Mrs. Baker, a cat lady, she had a grandson who ran away one day only to be found in some treehouse club in the woods reading a comic book.",163,0.51,"Mrs. Baker resided in a local area, known for her fondness for cats, and she had a young grandson who one day decided to flee, eventually being discovered in a treehouse hideout deep in the forest engrossed in a graphic novel.",226,0.2897082302909292
648f41ef21178f0a0b794669,"In the neighbourhood that I grew up in, Mrs Baker was the resident cat-lady. She had adopted at least twenty of them - or at least given a home to.",147,0.57,"Within the community where I was raised, Mrs. Baker was known as the local feline enthusiast. She had taken in no fewer than twenty cats - or at the very least provided shelter for them.",186,0.39341255937930103
60721c2da01b3a616edba9a7,Mrs Baker was the neighbourhood cat lady. She had a nephew. Who liked me. And nagged her about it. I invited him over to my tree house. To trick him. So the Sheriff could get him. We thought he had run away. Only to find him inside the tree house.,247,0.35,Mrs. Baker was known as the local feline enthusiast. She possessed a nephew. This nephew took a liking to me. And he would pester her regarding this matter. I asked him to visit my arboreal abode. With the intention of deceiving him. This was so that the Sheriff could apprehend him. We were under the impression that he had fled. Only to discover him inside the tree house.,374,0.19918688602393042
609101a8a29bc713a6bcdbba,There is an old lady called Mrs. Baker she was act lady she had around 20 cats. She was living with a girl who kind of a tomboy she wanted to be my friend. she wanted to run away because she was not happy. She was missing the police were called everyone was looking for but she did not run away she was sitting at the tree house on branch of the tree holding a comic book. The police told me to be careful around the the old lady because she never forgets.,456,0.19,"An elderly woman known as Mrs. Baker exists who performed the role of an actress and she owned approximately 20 felines. Her living companion was a young female who was somewhat of a tomboy and she expressed a desire to become my companion. Her wish was to escape stemming from her dissatisfaction. Her whereabouts became unknown prompting the involvement of law enforcement with everyone searching for her yet she hadn't actually fled instead, she was perched in the treehouse on a limb of the tree clutching a graphic novel. Law enforcement cautioned me to stay vigilant around the elderly woman owing to her retentive memory.",628,0.11110984900342355
5bec91e66cb00e00015b8a7b,"A cat lady that adopted at least twenty cats, a tom boy lived with her and went missing one day as he did not like the lady very much. The lady with her big tabby cat went to the person in the tree house to get help to find the boy they could not find him but later that day they found him sitting on the tree branch, later in the evening a officer came by but he had already been found.",387,0.23,"A woman fond of cats who had taken in no fewer than twenty felines, shared her home with a tomboy who disappeared one day since he harbored little affection for the woman. The feline enthusiast with her sizable tabby approached the individual in the arboreal dwelling seeking assistance to locate the young lad yet they were unsuccessful in their search however, as the day progressed they spotted him perched on a limb of the tree, towards dusk an officer made an appearance though by then he had already been discovered.",522,0.15459496217059382
