recall_id,clause_id,clause_text,rephrased_text
5422cca4fdf99b328c91b21b,1,There was a lady,A woman existed
5422cca4fdf99b328c91b21b,2,who was a neighbour,who lived nearby
5422cca4fdf99b328c91b21b,3,who had a grandson.,and possessed a grandson.
5422cca4fdf99b328c91b21b,4,She was called Mrs Baker.,Her name was Mrs. Baker.
5422cca4fdf99b328c91b21b,5,She wanted me to be friends with her grandson,Her desire was for me to become friends with her grandchild
5422cca4fdf99b328c91b21b,6,but he had really poor manners,yet his manners were quite bad
5422cca4fdf99b328c91b21b,7,so I did not want to.,thus I was reluctant.
5422cca4fdf99b328c91b21b,8,One day she came to my house with her cat,"On a certain occasion, she visited my home with her feline companion"
5422cca4fdf99b328c91b21b,9,and said her grandson was missing,and informed me that her grandson had vanished
5422cca4fdf99b328c91b21b,10,I suggested we should look for him together before ringing the police.,I proposed that we search for him jointly prior to contacting the authorities.
5422cca4fdf99b328c91b21b,11,We went out,We set out
5422cca4fdf99b328c91b21b,12,and found him in a treehouse reading a comic,and located him in a treehouse engrossed in a comic book
5422cca4fdf99b328c91b21b,13,he hadn't run away.,he hadn't actually fled.
5422cca4fdf99b328c91b21b,14,The police called me later,"Later, the authorities contacted me"
5422cca4fdf99b328c91b21b,15,and said I should lay low,advising that I keep a low profile
5422cca4fdf99b328c91b21b,16,"as she would cause trouble for me,","since she might create complications for me,"
5422cca4fdf99b328c91b21b,17,so that is what I did.,and I heeded their advice.
54232b4bfdf99b328c91b253,1,In the town that I grew up in,Within the town of my childhood
54232b4bfdf99b328c91b253,2,there was an old cat lady.,lived a woman known for her many cats.
54232b4bfdf99b328c91b253,3,A boy was trying to befriend me,A local boy attempted to make friends with me
54232b4bfdf99b328c91b253,4,but I never caught on.,yet I remained oblivious.
54232b4bfdf99b328c91b253,5,One day the old cat lady came to my treehouse,"Eventually, the cat-loving elder visited my tree fort"
54232b4bfdf99b328c91b253,6,tabby cat in tow.,with a striped cat accompanying her.
54232b4bfdf99b328c91b253,7,"She said the boy had run away,","She informed me that the boy had disappeared,"
54232b4bfdf99b328c91b253,8,so we went to look for him.,prompting us to search for him.
54232b4bfdf99b328c91b253,9,We found his hat,His cap was discovered
54232b4bfdf99b328c91b253,10,and he was in a tree house.,and he was located in another treehouse.
