index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,194,0.5632,"I grew up near Mrs. Baker, the cat lady. I didn't like her grandson due to his poor manners. I helped Mrs. Baker find her runaway grandson. Officer Dawson told me to stay out of sight afterward.",109.26,4,4,1,"My childhood was spent in proximity to Mrs. Baker, known for her many cats. Her grandson was not to my liking because of his impolite behavior. I assisted Mrs. Baker in locating her escaped grandson. Following the incident, Officer Dawson advised me to keep hidden.",265,104.52220149214999,0.3944
1,199,0.5471,"I grew up with Mrs. Baker, the neighborhood cat lady. I helped Mrs. Baker find her grandson when he pretended to run away. Officer Dawson advised me to stay out of sight to avoid Mrs. Baker's memory.",108.87,3,3,4,"Mrs. Baker, known as the local feline enthusiast, was part of my upbringing. When her grandson feigned an escape, I assisted Mrs. Baker in locating him. To prevent jogging Mrs. Baker's recollection, Officer Dawson suggested I remain unseen.",240,104.57059009260003,0.4357
2,212,0.5627,I grew up near Mrs. Baker who had many cats and a rude grandson. The grandson left a note about running away but was found in my treehouse. Officer Dawson advised me to avoid Mrs. Baker because she never forgets.,119.28,3,3,5,"My childhood was spent close to Mrs. Baker, who owned numerous felines and had an impolite grandchild. Her grandson penned a message regarding his plans to flee, yet he was discovered in my arboreal hideout. Constable Dawson counseled me to steer clear of Mrs. Baker as she has a memory like an elephant.",304,102.3275358612,0.3366
3,221,0.542,I didn't really like Mrs. Baker's grandson because he had poor manners. I helped Mrs. Baker when her grandson left a note saying he was going to run away. Officer Dawson advised me to stay out of sight after the incident.,119.78,3,3,1,"Mrs. Baker's grandson wasn't to my liking due to his lack of etiquette. When her grandson penned a note about fleeing, I assisted Mrs. Baker. Following the event, Officer Dawson recommended that I remain unseen.",211,106.57395935814999,0.5051
4,222,0.5812,"I was a tomboy in my neighborhood. Mrs. Baker's grandson tried to befriend me. He had poor manners, so I didn't like him. I helped Mrs. Baker search for her runaway grandson. Officer Dawson advised me to stay out of sight.",129.02,5,5,3,"In my community, I was known as a tomboy. The grandson of Mrs. Baker made efforts to become my friend. His lack of good manners made him unlikeable to me. I assisted Mrs. Baker in looking for her grandson who had fled. Officer Dawson recommended that I keep myself hidden.",272,119.38243104825,0.4389
5,226,0.6029,I didn't take to Mrs. Baker's grandson because he had poor manners. I helped Mrs. Baker when her grandson left a note saying he was running away. Officer Dawson advised me to stay out of sight because Mrs. Baker never forgets.,136.25,3,3,2,"Mrs. Baker's grandson didn't appeal to me due to his lack of etiquette. I assisted Mrs. Baker after her grandson departed, leaving behind a message about his intention to flee. Constable Dawson suggested I remain unseen as Mrs. Baker has a long memory.",252,96.56600950635,0.3832
6,241,0.5742,"I grew up near Mrs. Baker, who had many cats. Her grandson with poor manners tried to befriend me. He left a note about running away, and I helped Mrs. Baker look for him. Officer Dawson advised me to stay out of sight because of Mrs. Baker.",138.37,4,4,3,"My childhood was spent in proximity to Mrs. Baker and her numerous felines. Her ill-mannered grandson made attempts to form a friendship with me. After he penned a message regarding his plans to elope, I assisted Mrs. Baker in searching for him. Constable Dawson recommended that I keep myself hidden due to Mrs. Baker.",319,109.40208430975,0.343
7,244,0.492,"I grew up in a neighborhood with Mrs. Baker, who adopted many cats. I strategized with Mrs. Baker to find her grandson after he left a note about running away. I stayed out of sight after Officer Dawson warned me about Mrs. Baker's persistence.",120.05,3,3,6,"My childhood was spent in a community where Mrs. Baker, a woman who took in numerous felines, resided. Together with Mrs. Baker, I devised a plan to locate her grandson following his departure, which he announced in a written message. I remained hidden following a caution from Officer Dawson regarding Mrs. Baker's tenacity.",325,97.71868657380003,0.3007
8,259,0.5175,"I grew up near Mrs. Baker who had many cats and a grandson who tried to befriend me. Mrs. Baker's grandson left a note about running away due to her nagging about me. We found him in the treehouse later, and I stayed out of sight as advised by Officer Dawson.",134.03,3,3,3,"My childhood was spent in proximity to Mrs. Baker, who owned numerous felines and a grandson who attempted to make friends with me. A note was left by Mrs. Baker's grandson expressing his intent to flee because of her persistent complaints regarding me. He was eventually discovered in the treehouse, whereupon I remained hidden, heeding Officer Dawson's counsel.",363,119.60790249985,0.3295
9,265,0.4785,I didn't get along with Mrs. Baker's grandson because of his poor manners. He left a note saying he would run away because of Mrs. Baker's nagging. I helped Mrs. Baker search for her grandson at the old mill. Officer Dawson advised me to lay low after the incident.,126.82,4,4,2,"Mrs. Baker's grandson and I had a strained relationship due to his lack of etiquette. He departed, leaving behind a message stating his intention to escape Mrs. Baker's constant carping. I assisted Mrs. Baker in looking for her grandson around the dilapidated mill. Following the event, Officer Dawson suggested that I keep a low profile.",338,102.17852782415,0.3023
